127.0.0.1, 2014-11-01 10:44:51, GET, /circi/default/index, HTTP/1.1, 200, 0.730490
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001162
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/js/calendar.js, HTTP/1.1, 200, 0.000519
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/js/web2py.js, HTTP/1.1, 200, 0.000405
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/js/jquery.js, HTTP/1.1, 200, 0.004853
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002608
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/css/web2py.css, HTTP/1.1, 200, 0.000605
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/css/calendar.css, HTTP/1.1, 200, 0.005019
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003804
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001552
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000948
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001363
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/js/share.js, HTTP/1.1, 200, 0.000464
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/images/facebook.png, HTTP/1.1, 200, 0.000388
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/images/gplus-32.png, HTTP/1.1, 200, 0.000921
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/images/twitter.png, HTTP/1.1, 200, 0.001190
127.0.0.1, 2014-11-01 10:44:51, GET, /circi/static/images/favicon.ico, HTTP/1.1, 200, 0.000479
127.0.0.1, 2014-11-01 11:59:34, GET, /admin/default/plugins/circi, HTTP/1.1, 303, 0.006733
127.0.0.1, 2014-11-01 11:59:34, GET, /admin/default/index, HTTP/1.1, 200, 0.042390
127.0.0.1, 2014-11-01 11:59:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
127.0.0.1, 2014-11-01 11:59:37, POST, /admin/default/index, HTTP/1.1, 303, 0.037638
127.0.0.1, 2014-11-01 11:59:38, GET, /admin/default/plugins/circi, HTTP/1.1, 200, 1.630438
127.0.0.1, 2014-11-01 11:59:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000402
127.0.0.1, 2014-11-01 12:04:18, GET, /admin/default/index, HTTP/1.1, 303, 0.009977
127.0.0.1, 2014-11-01 12:04:18, GET, /admin/default/site, HTTP/1.1, 200, 0.061474
127.0.0.1, 2014-11-01 12:04:19, POST, /admin/default/check_version, HTTP/1.1, 200, 0.642640
127.0.0.1, 2014-11-01 12:04:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000372
127.0.0.1, 2014-11-01 12:04:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000503
127.0.0.1, 2014-11-01 12:04:21, GET, /admin/default/plugins/circi, HTTP/1.1, 200, 0.058795
127.0.0.1, 2014-11-01 12:04:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000337
127.0.0.1, 2014-11-01 12:04:24, GET, /admin/default/site, HTTP/1.1, 200, 0.064332
127.0.0.1, 2014-11-01 12:04:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000399
127.0.0.1, 2014-11-01 12:04:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000473
127.0.0.1, 2014-11-01 12:04:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000323
127.0.0.1, 2014-11-01 12:04:51, GET, /admin/default/design/circi, HTTP/1.1, 200, 0.116726
127.0.0.1, 2014-11-01 12:04:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000420
127.0.0.1, 2014-11-01 12:05:18, GET, /admin/default/site, HTTP/1.1, 200, 0.059703
127.0.0.1, 2014-11-01 12:05:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000327
127.0.0.1, 2014-11-01 12:05:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000430
127.0.0.1, 2014-11-01 12:05:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000449
127.0.0.1, 2014-11-01 12:05:36, GET, /admin/default/design/circi, HTTP/1.1, 200, 0.112976
127.0.0.1, 2014-11-01 12:05:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000478
127.0.0.1, 2014-11-01 17:04:36, GET, /, HTTP/1.1, 303, 0.000839
127.0.0.1, 2014-11-01 17:04:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.100059
127.0.0.1, 2014-11-01 17:04:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.023827
127.0.0.1, 2014-11-01 17:04:36, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.025812
127.0.0.1, 2014-11-01 17:04:36, POST, /welcome/default/user/register, HTTP/1.1, 303, 0.149761
127.0.0.1, 2014-11-01 17:04:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.023975
127.0.0.1, 2014-11-01 17:04:36, GET, /welcome/default/user/logout, HTTP/1.1, 303, 0.130490
127.0.0.1, 2014-11-01 17:04:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.029051
127.0.0.1, 2014-11-01 17:04:37, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.026754
127.0.0.1, 2014-11-01 17:04:37, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.112514
127.0.0.1, 2014-11-01 17:04:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.024205
127.0.0.1, 2014-11-01 17:04:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.025775
127.0.0.1, 2014-11-01 17:04:37, POST, /admin/default/index, HTTP/1.1, 200, 0.127247
127.0.0.1, 2014-11-01 17:04:37, GET, /admin/default/site, HTTP/1.1, 303, 0.005440
